,state,x,y
0,Andhra Pradesh,-58.0,-176.0
1,Arunachal Pradesh,213.0,131.0
2,Assam,173.0,74.0
3,Bihar,57.0,55.0
4,Chhattisgarh,-17.0,-38.0
5,Goa,-184.0,-167.0
6,Gujarat,-214.0,-13.0
7,Haryana,-119.0,133.0
8,Himachal Pradesh,-100.0,204.0
9,Jharkhand,41.0,12.0
10,Karnataka,-149.0,-182.0
11,Kerala,-147.0,-275.0
12,Madhya Pradesh,-112.0,6.0
13,Maharashtra,-159.0,-91.0
14,Manipur,222.0,45.0
15,Meghalaya,133.0,51.0
16,Mizoram,204.0,-9.0
17,Nagaland,234.0,73.0
18,Odisha,36.0,-55.0
19,Punjab,-143.0,170.0
20,Rajasthan,-190.0,75.0
21,Sikkim,110.0,102.0
22,Tamil Nadu,-85.0,-255.0
23,Telangana,-78.0,-106.0
24,Tripura,142.0,12.0
25,Uttar Pradesh,-48.0,93.0
26,Uttarakhand,-55.0,145.0
27,West Bengal,115.0,-4.0
